threshold,TP,TN,FP,FN,accuracy,precision,recall,f1
0.05,5505,511,11429,213,0.3407,0.3251,0.9627,0.486
0.06,5493,573,11367,225,0.3435,0.3258,0.9607,0.4866
0.07,5436,711,11229,282,0.3481,0.3262,0.9507,0.4857
0.08,5427,714,11226,291,0.3478,0.3259,0.9491,0.4852
0.09,5408,735,11205,310,0.3479,0.3255,0.9458,0.4843
0.1,5407,740,11200,311,0.3481,0.3256,0.9456,0.4844
0.11,5382,780,11160,336,0.349,0.3254,0.9412,0.4836
0.12,5316,902,11038,402,0.3521,0.3251,0.9297,0.4817
0.13,5305,912,11028,413,0.3521,0.3248,0.9278,0.4812
0.14,5256,1049,10891,462,0.3571,0.3255,0.9192,0.4808
0.15,5218,1118,10822,500,0.3588,0.3253,0.9126,0.4796
0.16,5209,1136,10804,509,0.3593,0.3253,0.911,0.4794
0.17,5151,1239,10701,567,0.3619,0.3249,0.9008,0.4776
0.18,4908,1943,9997,810,0.388,0.3293,0.8583,0.476
0.19,4901,1979,9961,817,0.3896,0.3298,0.8571,0.4763
0.2,4896,1985,9955,822,0.3897,0.3297,0.8562,0.4761
0.21,4880,2005,9935,838,0.3899,0.3294,0.8534,0.4753
0.22,4750,2315,9625,968,0.4001,0.3304,0.8307,0.4728
0.23,4727,2352,9588,991,0.4009,0.3302,0.8267,0.4719
0.24,4681,2477,9463,1037,0.4054,0.331,0.8186,0.4714
0.25,3919,4579,7361,1799,0.4813,0.3474,0.6854,0.4611
0.26,3852,4736,7204,1866,0.4864,0.3484,0.6737,0.4593
0.27,3850,4737,7203,1868,0.4863,0.3483,0.6733,0.4591
0.28,3835,4781,7159,1883,0.4879,0.3488,0.6707,0.459
0.29,3832,4782,7158,1886,0.4878,0.3487,0.6702,0.4587
0.3,3830,4794,7146,1888,0.4884,0.3489,0.6698,0.4588
0.31,3130,6325,5615,2588,0.5355,0.3579,0.5474,0.4328
0.32,2650,7381,4559,3068,0.5681,0.3676,0.4634,0.41
0.33,2587,7563,4377,3131,0.5748,0.3715,0.4524,0.408
0.34,2585,7570,4370,3133,0.5751,0.3717,0.4521,0.408
0.35,2580,7574,4366,3138,0.575,0.3714,0.4512,0.4075
0.36,2573,7588,4352,3145,0.5754,0.3716,0.45,0.407
0.37,2504,7769,4171,3214,0.5818,0.3751,0.4379,0.4041
0.38,2105,8439,3501,3613,0.5971,0.3755,0.3681,0.3718
0.39,1365,9855,2085,4353,0.6354,0.3957,0.2387,0.2978
0.4,1309,9980,1960,4409,0.6393,0.4004,0.2289,0.2913
0.41,1304,9996,1944,4414,0.6399,0.4015,0.2281,0.2909
0.42,1116,10330,1610,4602,0.6482,0.4094,0.1952,0.2643
0.43,1108,10363,1577,4610,0.6496,0.4127,0.1938,0.2637
0.44,1094,10386,1554,4624,0.6501,0.4131,0.1913,0.2615
0.45,946,10658,1282,4772,0.6572,0.4246,0.1654,0.2381
0.46,943,10665,1275,4775,0.6574,0.4252,0.1649,0.2377
0.47,866,10749,1191,4852,0.6578,0.421,0.1515,0.2228
0.48,837,10808,1132,4881,0.6595,0.4251,0.1464,0.2178
0.49,837,10812,1128,4881,0.6597,0.426,0.1464,0.2179
0.5,340,11354,586,5378,0.6622,0.3672,0.0595,0.1023
0.51,337,11356,584,5381,0.6622,0.3659,0.0589,0.1015
0.52,334,11365,575,5384,0.6625,0.3674,0.0584,0.1008
0.53,333,11365,575,5385,0.6625,0.3667,0.0582,0.1005
0.54,332,11368,572,5386,0.6626,0.3673,0.0581,0.1003
0.55,278,11455,485,5440,0.6645,0.3644,0.0486,0.0858
0.56,271,11468,472,5447,0.6648,0.3647,0.0474,0.0839
